BLOQUE;MICROCUENCA;PROVINCIA;DISTRITO;AREA_HA;ARCHIVO_EXCEL;ID_CARPETA_DRIVE;NOMBRE_CARPETA_DRIVE;ENLACE_CARPETA
M27B1;C1096-Q9557;Morropon;Chulucanas;448.8;Plantilla_Excel_Bloque_M27B1_IN_Piura.xlsx;1ibPnzTarQ1yQOMSN17euZQfW-KfKPZ7b;DIAGNOSTICO BLOQUE M27B1;https://drive.google.com/drive/folders/1ibPnzTarQ1yQOMSN17euZQfW-KfKPZ7b
M28B4;C1086-Q9575;Morropon;Yamango;283.43;Plantilla_Excel_Bloque_M28B4_IN_Piura.xlsx;1m4opls49Z_hFe9Oh-SSVwVKIG9GVv2MX;DIAGNOSTICO BLOQUE M28B4;https://drive.google.com/drive/folders/1m4opls49Z_hFe9Oh-SSVwVKIG9GVv2MX
M3B3;C1081-Q9582;Morropon;San Juan de Bigote;84.82;Plantilla_Excel_Bloque_M3B3_IN_Piura.xlsx;1cOtWwiZgnLJQVZSafZMinqjbzhheKFoq;DIAGNOSTICO BLOQUE M3B3;https://drive.google.com/drive/folders/1cOtWwiZgnLJQVZSafZMinqjbzhheKFoq
M32B3;C1086-Q9569;Morropon;Morropon;50.97;Plantilla_Excel_Bloque_M32B3_IN_Piura.xlsx;1deTvuyBO40rMhEVMfJ150ko284SYoSYn;DIAGNOSTICO BLOQUE M32B3;https://drive.google.com/drive/folders/1deTvuyBO40rMhEVMfJ150ko284SYoSYn
M30B5;C1081-Q9591;Huancabamba;Huancabamba;90.9;Plantilla_Excel_Bloque_M30B5_IN_Piura.xlsx;1fsoRljJGXGW7a-Xv7MHfExZr6BAqIz05;DIAGNOSTICO BLOQUE M30B5;https://drive.google.com/drive/folders/1fsoRljJGXGW7a-Xv7MHfExZr6BAqIz05
M3B5;C1081-Q9582;Morropon;San Juan de Bigote;52.74;Plantilla_Excel_Bloque_M3B5_IN_Piura.xlsx;1cTY61Xr9QmQnilPhoO8bglrYsIfRis5v;DIAGNOSTICO BLOQUE M3B5;https://drive.google.com/drive/folders/1cTY61Xr9QmQnilPhoO8bglrYsIfRis5v
M36B2;C1086-Q9576;Morropon;Santa Catalina de Mossa;28.19;Plantilla_Excel_Bloque_M36B2_IN_Piura.xlsx;1BRV7QYwD0bUAjNzoq3de_HwOKHsbdN6W;DIAGNOSTICO BLOQUE M36B2;https://drive.google.com/drive/folders/1BRV7QYwD0bUAjNzoq3de_HwOKHsbdN6W
M3B8;C1081-Q9582;Morropon;San Juan de Bigote;565.58;Plantilla_Excel_Bloque_M3B8_IN_Piura.xlsx;1C0sZtbD4w7S_wxNmTjyA_ErtyQAZaQPy;DIAGNOSTICO BLOQUE M3B8;https://drive.google.com/drive/folders/1C0sZtbD4w7S_wxNmTjyA_ErtyQAZaQPy
M3B7;C1081-Q9582;Morropon;San Juan de Bigote;122.95;Plantilla_Excel_Bloque_M3B7_IN_Piura.xlsx;1m7IALIuY2OtSWx685ku9SPqPpG7xIaom;DIAGNOSTICO BLOQUE M3B7;https://drive.google.com/drive/folders/1m7IALIuY2OtSWx685ku9SPqPpG7xIaom
M4B3;C1076-Q9589;Huancabamba;Huarmaca;234.07;Plantilla_Excel_Bloque_M4B3_IN_Piura.xlsx;1D6y1gcabvD3J8UNYzZ3eo_oIbzfxEPSF;DIAGNOSTICO BLOQUE M4B3;https://drive.google.com/drive/folders/1D6y1gcabvD3J8UNYzZ3eo_oIbzfxEPSF
M3B9;C1081-Q9582;Morropon;Salitral;294.2;Plantilla_Excel_Bloque_M3B9_IN_Piura.xlsx;1uNI63yCsBebeBGCcIPNc6U3-2RoSxwa4;DIAGNOSTICO BLOQUE M3B9;https://drive.google.com/drive/folders/1uNI63yCsBebeBGCcIPNc6U3-2RoSxwa4
M3B6;C1081-Q9582;Morropon;San Juan de Bigote;60.35;Plantilla_Excel_Bloque_M3B6_IN_Piura.xlsx;12WDiqxI0uXXv1VsamYl8RPjm-LECsjLP;DIAGNOSTICO BLOQUE M3B6;https://drive.google.com/drive/folders/12WDiqxI0uXXv1VsamYl8RPjm-LECsjLP
M4B4;C1076-Q9589;Huancabamba;Huarmaca;289.91;Plantilla_Excel_Bloque_M4B4_IN_Piura.xlsx;1tS9iBa5KY5815_6NcIjcENxaJ2G6irH2;DIAGNOSTICO BLOQUE M4B4;https://drive.google.com/drive/folders/1tS9iBa5KY5815_6NcIjcENxaJ2G6irH2
M6B10;C1077-Q9566;Morropon;Buenos Aires;249.89;Plantilla_Excel_Bloque_M6B10_IN_Piura.xlsx;1BSWY17eUA4UiJMktjunZMa_3Ie9lMNsG;DIAGNOSTICO BLOQUE M6B10;https://drive.google.com/drive/folders/1BSWY17eUA4UiJMktjunZMa_3Ie9lMNsG
M7B6;C1076-Q9581;Morropon;Salitral;91.29;Plantilla_Excel_Bloque_M7B6_IN_Piura.xlsx;1TEyGZcwheeh_n2PGOUlvl_u6I4oLf06Q;DIAGNOSTICO BLOQUE M7B6;https://drive.google.com/drive/folders/1TEyGZcwheeh_n2PGOUlvl_u6I4oLf06Q
M7B2;C1076-Q9581;Morropon;Salitral;115.38;Plantilla_Excel_Bloque_M7B2_IN_Piura.xlsx;1Cuw-5-H_CgTTGO_C8_nAL91yLdAoqR0y;DIAGNOSTICO BLOQUE M7B2;https://drive.google.com/drive/folders/1Cuw-5-H_CgTTGO_C8_nAL91yLdAoqR0y
70;C1076-Q9592;Huancabamba;Huarmaca;22.39;Plantilla_Excel_Bloque_70_IN_Piura.xlsx;1qmQRkASvS8XoZIQdZ-hdGgawHgA1p0It;DIAGNOSTICO BLOQUES 70 y 53;https://drive.google.com/drive/folders/1qmQRkASvS8XoZIQdZ-hdGgawHgA1p0It
53;C1076-Q9592;Huancabamba;Huarmaca;13.06;Plantilla_Excel_Bloque_53_IN_Piura.xlsx;1qmQRkASvS8XoZIQdZ-hdGgawHgA1p0It;DIAGNOSTICO BLOQUES 70 y 53;https://drive.google.com/drive/folders/1qmQRkASvS8XoZIQdZ-hdGgawHgA1p0It
M7B1;C1076-Q9581;Morropon;Salitral;130.43;Plantilla_Excel_Bloque_M7B1_IN_Piura.xlsx;1z8aL3WYudoPbP4SAINwaPpzjefdFWB0k;DIAGNOSTICO BLOQUE M7B1;https://drive.google.com/drive/folders/1z8aL3WYudoPbP4SAINwaPpzjefdFWB0k
M22B1;C1076-Q9586;Huancabamba;San Miguel de El Faique;55.17;Plantilla_Excel_Bloque_M22B1_IN_Piura.xlsx;1pLbZQ_o92OkVF0wD8-SnwMqrPkL1HjhB;DIAGNOSTICO BLQOUE M22B1;https://drive.google.com/drive/folders/1pLbZQ_o92OkVF0wD8-SnwMqrPkL1HjhB
M9B1;C1096-Q9545;Morropon;Chulucanas;355.36;Plantilla_Excel_Bloque_M9B1_IN_Piura.xlsx;1xrjOVFY5y4frYKDfFHFFRc4eWoGWoRhf;DIAGNOSTICO BLOQUE M9B1;https://drive.google.com/drive/folders/1xrjOVFY5y4frYKDfFHFFRc4eWoGWoRhf
83;C1081-Q9583;Morropon;San Juan de Bigote;24.344;Plantilla_Excel_Bloque_83_IN_Piura.xlsx;1V42IvbeF1u5aWzADgyAfPbvbVi2pgarQ;DIAGNOSTICO BLOQUES 83 Y 84;https://drive.google.com/drive/folders/1V42IvbeF1u5aWzADgyAfPbvbVi2pgarQ
84;C1081-Q9583;Morropon;San Juan de Bigote;5.097;Plantilla_Excel_Bloque_84_IN_Piura.xlsx;1V42IvbeF1u5aWzADgyAfPbvbVi2pgarQ;DIAGNOSTICO BLOQUES 83 Y 84;https://drive.google.com/drive/folders/1V42IvbeF1u5aWzADgyAfPbvbVi2pgarQ
39;C1096-Q9564;Ayabaca;Frias;68.57;Plantilla_Excel_Bloque_39_IN_Piura.xlsx;1s_zPpGpt3D3Lp4j1mc-NJ6BlA6MuUhNK;DIAGNOSTICO BLQOUE 39;https://drive.google.com/drive/folders/1s_zPpGpt3D3Lp4j1mc-NJ6BlA6MuUhNK
10;C1076-Q9593;Huancabamba;Huarmaca;150.21;Plantilla_Excel_Bloque_10_IN_Piura.xlsx;1JFlaBSEnNUtqJXFFy8K1LqsqU3vruxWm;DIAGNOSTICO BLQOUES 10 Y 16;https://drive.google.com/drive/folders/1JFlaBSEnNUtqJXFFy8K1LqsqU3vruxWm
16;C1076-Q9593;Huancabamba;Huarmaca;83.33;Plantilla_Excel_Bloque_16_IN_Piura.xlsx;1JFlaBSEnNUtqJXFFy8K1LqsqU3vruxWm;DIAGNOSTICO BLQOUES 10 Y 16;https://drive.google.com/drive/folders/1JFlaBSEnNUtqJXFFy8K1LqsqU3vruxWm
M17B10;C1096-Q9556;Ayabaca;Frias;75.36;Plantilla_Excel_Bloque_M17B10_IN_Piura.xlsx;1o5ydbY_7k2eaZLTcZtkwvtpGKYTW3h4x;DIAGNOSTICO M17B10;https://drive.google.com/drive/folders/1o5ydbY_7k2eaZLTcZtkwvtpGKYTW3h4x
31;C1076-Q9592;Huancabamba;Huarmaca;47.58;Plantilla_Excel_Bloque_31_IN_Piura.xlsx;16Q4dVjLla-bLyRRWrAHt0Zy-OwquAywh;DIAGNOSTICOS BLOQUES 31 y 69;https://drive.google.com/drive/folders/16Q4dVjLla-bLyRRWrAHt0Zy-OwquAywh
69;C1076-Q9592;Huancabamba;Huarmaca;19.43;Plantilla_Excel_Bloque_69_IN_Piura.xlsx;16Q4dVjLla-bLyRRWrAHt0Zy-OwquAywh;DIAGNOSTICOS BLOQUES 31 y 69;https://drive.google.com/drive/folders/16Q4dVjLla-bLyRRWrAHt0Zy-OwquAywh
85;C1081-Q9583;Morropon;San Juan de Bigote;11.906;Plantilla_Excel_Bloque_85_IN_Piura.xlsx;1B_w3ALXyTIpwwjIKvX9ZTtpIK9xvxbI-;DIAGNOSTICOS BLOQUES 85 Y 86;https://drive.google.com/drive/folders/1B_w3ALXyTIpwwjIKvX9ZTtpIK9xvxbI-
86;C1081-Q9583;Morropon;San Juan de Bigote;30.001;Plantilla_Excel_Bloque_86_IN_Piura.xlsx;1B_w3ALXyTIpwwjIKvX9ZTtpIK9xvxbI-;DIAGNOSTICOS BLOQUES 85 Y 86;https://drive.google.com/drive/folders/1B_w3ALXyTIpwwjIKvX9ZTtpIK9xvxbI-
